ID,Chinese name,Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,variant,Volume size,rarity,Element 1,Element 2,GenusCategory,Organization,weapon,WeaponEquip,nocturnal,4D total,HP,melee attack,Remote attack,defense,support,Speed of work,Level 1,Level 20,Level 50,AIRResponse,AISightResponse,endurance,slow walking speed,walking speed,running speed,Riding sprint speed,(being) damage multiplier,catch rate,Experience multiplier,price,Must bring entry 1,Must bring entry 2,Numerical description,lv1,lv2,lv3,lv4,lv5,Skill description
47,tianqinniao,galeclaw,eagle,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::eagle,eagle,nan,m,2,generally,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,340,75,120,85,60,100,100,106-108,227-265,418-514,warlike,nan,100,100,200,600,nan,100%,100%,100%,2010,nan,nan,paraglider maximum speed (gravity factor),1000(0.03),1150(0.0275),1300(0.025),1500(0.0225),1700(0.02),"if it is in the party, it can be summoned in place of the paraglider. while gliding, your right hand will be free, so you can hold a gun and shoot."
48,feather archer,robinquill,robinhood,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::robinhood,robinhood,nan,m,5,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,375,90,100,105,80,100,100,107-110,257-304,493-611,warlike,nan,100,100,100,600,nan,100%,100%,100%,2050,nan,nan,weakness bonus %,20,22,26,32,40,"when fighting alongside it, players will be able to deal more damage to enemy weak points."
48,mountain shooter,robinquill terra,robinhood_ground,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::robinhood_ground,robinhood_ground,yes,m,6,wood,land,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,375,90,100,105,80,100,100,107-110,257-304,493-611,warlike,nan,100,100,100,600,nan,100%,100%,100%,2150,nan,nan,weakness bonus %,20,22,26,32,40,"when fighting alongside it, players will be able to deal more damage to enemy weak points."
49,iron fist ape,gorirat,gorilla,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::gorilla,gorilla,nan,s,5,generally,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,385,90,110,95,90,100,100,107-109,242-285,456-563,warlike,nan,100,66,100,550,nan,100%,100%,100%,2010,rough,nan,attack power bonus%,50,75,110,150,200,"after activation, the power of wildness will be released and gorilla's attack power will be increased for a certain period of time."
50,knight bee,beegarde,soldierbee,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::soldierbee,soldierbee,nan,m,4,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,360,80,100,90,90,100,100,106-108,235-275,437-538,warlike,nan,100,125,250,450,nan,100%,100%,100%,1880,nan,nan,queen bee attack and defense bonus%,12,13,15,19,24,"assign it to palu ranch and it will have a chance to drop honey. if it is in the team, queenbee's attributes will be improved."
51,queen bee,elizabee,queenbee,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::queenbee,queenbee,nan,l,8,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,395,90,100,105,100,100,100,107-110,257-304,493-611,warlike,nan,100,150,250,450,nan,100%,100%,100%,6830,nan,nan,attack power bonus%,0,5,6,7,8,"when fighting alongside it, the more soldierbees there are in the team, the more its attributes will improve."
52,laughing nightmare cat,grintale,naughtycat,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::naughtycat,naughtycat,nan,l,6,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,370,110,100,80,80,100,100,106-107,220-256,400-490,friendly,nan,100,32,64,600,800,100%,100%,100%,5510,nan,nan,elemental power bonus%_normal,50,55,65,80,100,can be moved around on its back. elemental normal attacks during riding will be strengthened.
53,mao duster,swee,mopbaby,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::mopbaby,mopbaby,nan,xs,1,ice,no_secondary_type,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,nan,280,60,100,60,60,100,100,104-105,190-217,325-392,escape_to_battle,nan,100,55,100,250,nan,130%,110%,100%,1180,nan,nan,daddy mao's attack and defense bonus%,12,13,15,19,24,"if it is in the team, mopking's attributes will be improved."
54,dad mao,sweepa,mopking,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::mopking,mopking,nan,l,6,ice,no_secondary_type,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,nan,380,100,100,90,90,100,100,106-108,235-275,437-538,escape_to_battle,nan,100,60,120,300,500,100%,100%,100%,6400,nan,nan,attack power bonus%,0,5,6,7,8,"can be moved around on its back. when fighting alongside it, the more mopbabys in the team, the more its attributes will improve."
55,whirling weasel,chillet,weaseldragon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::weaseldragon,weaseldragon,nan,m,4,ice,dragon,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,350,90,100,80,80,100,100,106-107,220-256,400-490,escape_to_battle,nan,100,100,180,600,800,100%,100%,100%,3450,nan,nan,attack power bonus%,50,55,65,80,100,can be moved around on its back. while mounted it will grant the player's attacks the elemental dragon.
56,thunder wildebeest,univolt,kirin,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::kirin,kirin,nan,m,5,electricity,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,400,80,110,105,105,100,100,107-110,257-304,493-611,notinterested,nan,100,80,130,720,1100,100%,90%,100%,4280,nan,nan,attack power bonus%,50,55,65,80,100,can be moved around on its back. while mounted it will grant elemental electricity to the player's attacks.
57,blowing snow fox,foxcicle,icefox,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::icefox,icefox,nan,s,5,ice,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,390,90,100,95,105,100,100,107-109,242-285,456-563,warlike,nan,100,65,130,600,nan,100%,100%,100%,3730,nan,nan,attack power bonus%,10,11,13,16,20,"if it is in the team, the attack power of the elemental ice palu will be increased."
58,fire unicorn,pyrin,firekirin,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::firekirin,firekirin,nan,l,6,fire,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,395,100,110,95,90,100,100,107-109,242-285,456-563,warlike,nan,100,100,150,850,1300,100%,100%,100%,6720,nan,nan,attack power bonus%,50,55,65,80,100,can be moved around on its back. while mounted it will grant elemental fire to the player's attacks.
58,evil unicorn,pyrin noct,firekirin_dark,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::firekirin_dark,firekirin_dark,yes,l,7,fire,dark,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,yes,395,100,110,95,90,100,100,107-109,242-285,456-563,warlike,nan,100,100,150,850,1300,100%,100%,100%,7270,nan,nan,attack power bonus%,50,55,65,80,100,"can be moved around on its back. while mounted, it will grant elemental dark to the player's attacks."
59,deer in severe winter,reindrix,icedeer,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::icedeer,icedeer,nan,m,4,ice,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,375,100,80,85,110,100,100,106-108,227-265,418-514,warlike,nan,100,35,70,550,700,100%,100%,100%,2800,nan,nan,moving speed%,0,10,12,15,20,can be moved around on its back. you won't feel the heat during the ride and it's quite cool.
60,thunder dog,rayhound,thunderdog,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::thunderdog,thunderdog,nan,m,5,electricity,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,370,90,100,100,80,100,100,107-109,250-295,475-587,warlike,nan,100,110,210,700,1150,100%,100%,100%,3880,nan,nan,moving speed%,0,10,12,15,20,can be moved around on its back. two jumps are possible during the ride.
61,blue flame wolf,kitsun,amaterasuwolf,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::amaterasuwolf,amaterasuwolf,nan,m,6,fire,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,385,100,70,115,100,110,100,108-111,272-324,531-660,notinterested,nan,100,80,130,700,900,100%,100%,100%,3170,nan,nan,moving speed%,0,10,12,15,20,can be moved around on its back. you won't be affected by cold or heat while riding.
62,thunder boy,dazzi,raijindaughter,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::raijindaughter,raijindaughter,nan,xs,2,electricity,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,330,70,110,80,70,100,100,106-107,220-256,400-490,escape_to_battle,nan,100,120,200,400,nan,100%,100%,100%,1390,nan,nan,skill power multiplier,1,1.1,1.3,1.6,2,"if it is in the party, it will appear next to the player. it will cooperate with the player's offensive to pursue with thunder."
63,mystia,lunaris,mutant,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::mutant,mutant,nan,m,6,generally,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,360,90,80,100,90,100,100,107-109,250-295,475-587,notinterested,nan,100,80,130,500,nan,100%,100%,100%,1760,nan,nan,increased weight bearing,80,90,100,110,120,"if mutant is in the team, it can increase the player's upper limit of weight through its anti-gravity."
64,corolla dragon,dinossom,flowerdinosaur,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::flowerdinosaur,flowerdinosaur,nan,l,6,wood,dragon,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,375,110,90,85,90,150,100,106-108,227-265,418-514,friendly,nan,100,70,120,550,700,100%,100%,100%,3240,nan,nan,elemental power bonus%_leaf,50,55,65,80,100,can be moved around on its back. elemental leaf attacks during riding will be strengthened.
64,thunder guanlong,dinossom lux,flowerdinosaur_electric,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::flowerdinosaur_electric,flowerdinosaur_electric,yes,l,7,electricity,dragon,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,380,110,90,90,90,150,100,106-108,235-275,437-538,friendly,nan,100,70,120,550,700,100%,100%,100%,3380,nan,nan,elemental power bonus%_electricity,50,55,65,80,100,can be moved around on its back. elemental electricity attacks during riding will be strengthened.
65,water-sliding snake,surfent,serpent,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::serpent,serpent,nan,m,4,water,no_secondary_type,epalgenuscategorytype::fish,epalorganizationtype::none,epalweapontype::none,false,nan,330,90,70,90,80,100,100,106-108,235-275,437-538,warlike,nan,100,100,200,500,650,100%,100%,100%,5050,nan,nan,moving speed%,0,10,12,15,20,can ride on its back and move through the water. moving on water while riding does not consume stamina.
65,quicksand snake,surfent terra,serpent_ground,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::serpent_ground,serpent_ground,yes,m,5,land,no_secondary_type,epalgenuscategorytype::fish,epalorganizationtype::none,epalweapontype::none,false,nan,350,90,70,90,100,100,100,106-108,235-275,437-538,warlike,nan,100,100,200,500,650,100%,100%,100%,5140,nan,nan,moving speed%,0,10,12,15,20,can be moved around on its back.
66,soul eater,maraith,ghostbeast,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::ghostbeast,ghostbeast,nan,m,6,dark,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,yes,310,75,50,105,80,100,100,107-110,257-304,493-611,warlike,nan,100,100,160,600,800,100%,100%,100%,1570,nan,nan,attack power bonus%,50,55,65,80,100,"can be moved around on its back. while mounted, it will grant elemental dark to the player's attacks."
67,rock crusher turtle,digtoise,drillgame,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::drillgame,drillgame,nan,m,5,land,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,375,80,80,95,120,100,100,107-109,242-285,456-563,warlike,nan,100,75,120,300,nan,100%,100%,100%,2980,hard skin,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after launching, it will enter the unique_drillgame_shellattack state. it will follow the player as it spins, destroying ores efficiently."
68,cat bat monster,tombat,catbat,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::catbat,catbat,nan,m,5,dark,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,370,95,100,95,80,100,100,107-109,242-285,456-563,warlike,nan,100,80,140,400,nan,100%,100%,100%,3810,nan,nan,distance,10000,11000,13000,16000,20000,"once activated, it can detect the location of nearby pallu using ultrasonic waves."
69,fraternity lizard,lovander,pinklizard,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::pinklizard,pinklizard,nan,l,5,generally,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,330,120,70,70,70,140,100,105-106,205-236,362-441,warlike,nan,100,90,170,750,nan,100%,100%,100%,2450,uncharacteristically,nan,life drain %,2,3,4,5,6,"when fighting alongside it, it can give the player and pinklizard a life-stealing effect. this effect can absorb part of the damage when it is applied, and restore common_status_hp."
70,rong yan niang,flambelle,lavagirl,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::lavagirl,lavagirl,nan,xs,1,fire,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,310,60,100,70,80,100,100,105-106,205-236,362-441,escape_to_battle,nan,100,65,98,250,nan,130%,110%,100%,2500,nan,nan,ranch skills,0,0,0,0,0,assign it to palu ranch and it will have a chance to create fireorgan.
71,fenggelong,vanwyrm,birddragon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::birddragon,birddragon,nan,l,4,fire,dark,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,yes,395,90,100,115,90,100,100,108-111,272-324,531-660,warlike,nan,150,100,350,700,850,100%,100%,100%,4360,nan,nan,weakness bonus %,20,22,26,32,40,you can ride on its back and fly in the air. attacking the enemy's weak points while riding can cause more damage.
71,frost song dragon,vanwyrm cryst,birddragon_ice,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::birddragon_ice,birddragon_ice,yes,l,5,ice,dark,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,yes,405,90,100,120,95,100,100,109-111,280-334,550-685,warlike,nan,150,100,350,700,850,100%,100%,100%,4610,nan,nan,weakness bonus %,20,22,26,32,40,you can ride on its back and fly in the air. attacking the enemy's weak points while riding can cause more damage.
72,wave blade samurai,bushi,ronin,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::ronin,ronin,nan,m,7,fire,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,385,80,100,125,80,100,100,109-112,287-343,568-709,warlike,nan,100,80,160,600,nan,100%,100%,100%,4520,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after activation, it will attack the targeted enemy with extremely powerful unique_ronin_iai."
73,thunderbird,beakon,thunderbird,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::thunderbird,thunderbird,nan,l,6,electricity,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,400,105,100,115,80,100,100,108-111,272-324,531-660,warlike,nan,160,100,200,750,1200,100%,100%,100%,7490,nan,nan,attack power bonus%,50,55,65,80,100,you can ride on its back and fly in the air. while mounted it will grant elemental electricity to the player's attacks.
74,flamingo,ragnahawk,redarmorbird,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::redarmorbird,redarmorbird,nan,l,7,fire,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,420,95,100,105,120,100,100,107-110,257-304,493-611,warlike,nan,150,100,200,800,1300,100%,100%,100%,6720,nan,nan,attack power bonus%,50,55,65,80,100,you can ride on its back and fly in the air. while mounted it will grant elemental fire to the player's attacks.
75,dark witch cat,katress,catmage,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::catmage,catmage,nan,m,6,dark,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,385,90,100,105,90,100,100,107-110,257-304,493-611,warlike,nan,100,70,145,440,nan,100%,100%,100%,4120,nan,nan,drop increase%_normal,40,50,60,70,80,"when fighting side by side with it, if you knock down the elemental normal's palu, you can get more dropped items from that pallu."
76,flame witch fox,wixen,foxmage,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::foxmage,foxmage,nan,m,6,fire,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,330,90,50,110,80,120,100,108-110,265-314,512-636,escape_to_battle,nan,100,70,145,440,nan,100%,100%,100%,1540,nan,nan,attack power bonus%,5,6,7,8,10,"when fighting alongside it, it will grant elemental fire to the player's attacks."
77,spring rabbit,verdash,grassrabbitman,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::grassrabbitman,grassrabbitman,nan,m,8,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,395,90,100,115,90,100,100,108-111,272-324,531-660,warlike,nan,100,50,195,500,nan,100%,100%,100%,2200,nan,nan,moving speed%,20,22,26,32,40,"when fighting alongside it, the player's movement speed will be increased, and it will also grant elemental leaf to the player's attacks."
78,verita,vaelet,violetfairy,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::violetfairy,violetfairy,nan,m,8,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,420,100,100,100,120,100,100,107-109,250-295,475-587,warlike,nan,100,100,150,400,nan,100%,100%,100%,1960,nan,nan,drop increased by %_earth,40,50,60,70,80,"when fighting alongside it, if you knock down the pallu of elemental earth, you can get more dropped items from that pallu."
79,silk moth,sibelyx,whitemoth,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::whitemoth,whitemoth,nan,l,7,ice,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,390,110,90,90,100,90,100,106-108,235-275,437-538,escape_to_battle,nan,100,50,100,400,nan,100%,100%,100%,5900,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after being activated, it will attack the targeted enemy with extremely powerful iciclethrow. assign it to palu ranch and it will have a chance to create cloth2."
80,faerie dragon,elphidran,fairydragon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::fairydragon,fairydragon,nan,l,7,dragon,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,360,110,80,80,90,100,100,106-107,220-256,400-490,escape_to_battle,nan,130,83,83,630,800,100%,100%,100%,5230,nan,nan,drop increased by %_dark,40,50,60,70,80,"you can ride on its back and fly in the air. when fighting alongside it, if you knock down the elemental dark's pallu, you can get more dropped items from that pallu."
80,water spirit dragon,elphidran aqua,fairydragon_water,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::fairydragon_water,fairydragon_water,yes,l,8,dragon,water,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,370,115,80,80,95,100,100,106-107,220-256,400-490,escape_to_battle,nan,130,83,83,630,800,100%,100%,100%,5320,nan,nan,drop increased by %_fire,40,50,60,70,80,"you can ride on its back and fly in the air. when fighting alongside it, if you knock down the elemental fire's pallu, you can get more dropped items from that pallu."
81,shui linger,kelpsea,kelpie,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::kelpie,kelpie,nan,xs,1,water,no_secondary_type,epalgenuscategorytype::dragon,epalorganizationtype::none,epalweapontype::none,false,nan,310,70,100,70,70,100,100,105-106,205-236,362-441,notinterested,nan,100,50,100,700,nan,100%,100%,100%,1260,nan,nan,attack power bonus%,10,11,13,16,20,"if it is in the team, the elemental water palu's attack power will be increased."
81,huo linger,kelpsea ignis,kelpie_fire,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::kelpie_fire,kelpie_fire,nan,xs,2,fire,no_secondary_type,epalgenuscategorytype::dragon,epalorganizationtype::none,epalweapontype::none,false,nan,310,70,100,70,70,100,100,105-106,205-236,362-441,notinterested,nan,100,50,100,700,nan,100%,100%,100%,1240,nan,nan,attack power bonus%,10,11,13,16,20,"if it is in the team, the elemental fire palu's attack power will be increased."
82,bihailong,azurobe,bluedragon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::bluedragon,bluedragon,nan,l,7,water,dragon,epalgenuscategorytype::fish,epalorganizationtype::none,epalweapontype::none,false,nan,380,110,70,100,100,100,100,107-109,250-295,475-587,escape_to_battle,nan,100,75,150,600,800,100%,100%,100%,5600,nan,nan,attack power bonus%,50,55,65,80,100,"can ride on its back and move around on water. while mounted, it will grant elemental water to the player's attacks."
83,ice thorn beast,cryolinx,whitetiger,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::whitetiger,whitetiger,nan,l,7,ice,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,450,100,140,100,110,100,100,107-109,250-295,475-587,warlike,nan,100,100,280,720,nan,100%,100%,100%,8440,nan,nan,drop increased by %_dragon,40,50,60,70,80,"when fighting alongside it, if you knock down the elemental dragon's pallu, you can get more dropped items from that pallu."
84,hellfire king,blazehowl,manticore,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::manticore,manticore,nan,l,7,fire,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,395,105,100,110,80,100,100,108-110,265-314,512-636,warlike,nan,100,90,180,750,900,100%,100%,100%,4040,nan,nan,drop increased by %_leaf,40,50,60,70,80,"can be moved around on its back. when fighting side by side with it, if you knock down the elemental leaf's pallu, you can get more dropped items from that pallu."
84,hell king,blazehowl noct,manticore_dark,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::manticore_dark,manticore_dark,yes,l,8,fire,dark,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,yes,400,105,100,115,80,100,100,108-111,272-324,531-660,warlike,nan,100,60,90,750,900,100%,100%,100%,4360,nan,nan,drop increase%_normal,40,50,60,70,80,"can be moved around on its back. when fighting side by side with it, if you knock down the elemental normal's palu, you can get more dropped items from that pallu."
85,pecorone,relaxaurus,lazydragon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::lazydragon,lazydragon,nan,xl,8,dragon,water,epalgenuscategorytype::monster,epalorganizationtype::none,epalweapontype::none,false,nan,390,110,110,100,70,100,100,107-109,250-295,475-587,warlike,nan,100,40,60,650,800,100%,100%,100%,10240,greedy,nan,skill power,10,11,13,16,20,can be moved around on its back. it can also continuously attack with its missile launcher while riding.
85,parker,relaxaurus lux,lazydragon_electric,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::lazydragon_electric,lazydragon_electric,yes,xl,9,dragon,electricity,epalgenuscategorytype::monster,epalorganizationtype::none,epalweapontype::none,false,nan,405,110,110,110,75,100,100,108-110,265-314,512-636,warlike,nan,100,40,60,650,800,100%,100%,100%,10380,nan,nan,skill power,10,11,13,16,20,can be moved around on its back. it can also continuously attack with its missile launcher while riding.
86,lian lilong,broncherry,sakurasaurus,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::sakurasaurus,sakurasaurus,nan,xl,7,wood,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,390,120,80,90,100,120,100,106-108,235-275,437-538,notinterested,nan,100,50,75,350,500,100%,100%,100%,2920,nan,nan,increased weight bearing,100,110,120,130,140,"can be moved around on its back. if sakurasaurus is in the team, it will help carry luggage and increase the player's maximum weight limit."
86,allother,broncherry aqua,sakurasaurus_water,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::sakurasaurus_water,sakurasaurus_water,yes,xl,8,wood,water,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,395,120,80,95,100,120,100,107-109,242-285,456-563,notinterested,nan,100,50,75,350,500,100%,100%,100%,3110,nan,nan,increased weight bearing,100,110,120,130,140,"can be moved around on its back. if sakurasaurus_water is in the team, it will help carry luggage and increase the player's upper limit of weight."
87,hualina,petallia,flowerdoll,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::flowerdoll,flowerdoll,nan,m,8,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,395,100,100,95,100,100,100,107-109,242-285,456-563,escape_to_battle,nan,100,100,150,550,nan,100%,100%,100%,3590,nan,nan,treatment value,400,440,520,640,800,"when activated, the player's health can be restored through the healing power of the flowers."
88,lava beast,reptyro,volcanicmonster,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::volcanicmonster,volcanicmonster,nan,l,6,fire,land,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,435,110,100,105,120,100,100,107-110,257-304,493-611,warlike,nan,100,50,80,390,550,100%,100%,100%,6940,nan,nan,mining bonus+,500,750,1100,1500,2000,can be moved around on its back. destroying ore will be more efficient while riding.
88,frost beast,ice reptyro,volcanicmonster_ice,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::volcanicmonster_ice,volcanicmonster_ice,yes,l,7,ice,land,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,445,110,100,105,130,100,100,107-110,257-304,493-611,warlike,nan,100,50,80,390,550,100%,100%,100%,7380,nan,nan,mining bonus+,500,750,1100,1500,2000,can be moved around on its back. destroying ore will be more efficient while riding.
89,king melupa,kingpaca,kingalpaca,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::kingalpaca,kingalpaca,nan,xl,8,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,395,120,100,85,90,100,100,106-108,227-265,418-514,escape_to_battle,nan,100,80,80,500,700,100%,100%,100%,5800,nan,nan,increased weight bearing,100,110,120,130,140,"can be moved around on its back. if kingalpaca is in the team, it will help carry luggage and increase the player's maximum weight limit."
89,ice emperor melpa,ice kingpaca,kingalpaca_ice,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::kingalpaca_ice,kingalpaca_ice,yes,xl,9,ice,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,395,120,100,85,90,100,100,106-108,227-265,418-514,escape_to_battle,nan,100,80,80,500,700,100%,100%,100%,6100,nan,nan,increased weight bearing,100,110,120,130,140,"can be moved around on its back. if kingalpaca_ice is in the team, it will help carry luggage and increase the player's maximum weight limit."
90,mammoth,mammorest,grassmammoth,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::grassmammoth,grassmammoth,nan,xl,8,wood,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,425,150,100,85,90,30,100,106-108,227-265,418-514,notinterested,nan,100,100,135,430,600,100%,100%,100%,9450,nan,nan,mining bonus+,500,750,1100,1500,2000,can be moved around on its back. destroying trees and ores while riding will be more efficient.
90,snow mammoth,mammorest cryst,grassmammoth_ice,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::grassmammoth_ice,grassmammoth_ice,yes,xl,9,ice,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,425,150,100,85,90,30,100,106-108,227-265,418-514,notinterested,nan,100,100,135,430,600,100%,100%,100%,9580,nan,nan,mining bonus+,500,750,1100,1500,2000,can be moved around on its back. destroying trees and ores while riding will be more efficient.
